,Location,value
230,WARRIGAL_RD N of HIGH STREET_RD,11
242,WARRIGAL_RD N of HIGH STREET_RD,20
254,WARRIGAL_RD N of HIGH STREET_RD,51
266,WARRIGAL_RD N of HIGH STREET_RD,51
278,WARRIGAL_RD N of HIGH STREET_RD,64
290,WARRIGAL_RD N of HIGH STREET_RD,93
302,WARRIGAL_RD N of HIGH STREET_RD,129
314,WARRIGAL_RD N of HIGH STREET_RD,228
326,WARRIGAL_RD N of HIGH STREET_RD,226
338,WARRIGAL_RD N of HIGH STREET_RD,275
350,WARRIGAL_RD N of HIGH STREET_RD,314
362,WARRIGAL_RD N of HIGH STREET_RD,304
374,WARRIGAL_RD N of HIGH STREET_RD,422
386,WARRIGAL_RD N of HIGH STREET_RD,386
398,WARRIGAL_RD N of HIGH STREET_RD,426
410,WARRIGAL_RD N of HIGH STREET_RD,369
422,WARRIGAL_RD N of HIGH STREET_RD,347
434,WARRIGAL_RD N of HIGH STREET_RD,304
446,WARRIGAL_RD N of HIGH STREET_RD,302
458,WARRIGAL_RD N of HIGH STREET_RD,310
470,WARRIGAL_RD N of HIGH STREET_RD,268
482,WARRIGAL_RD N of HIGH STREET_RD,268
494,WARRIGAL_RD N of HIGH STREET_RD,247
506,WARRIGAL_RD N of HIGH STREET_RD,273
518,WARRIGAL_RD N of HIGH STREET_RD,276
530,WARRIGAL_RD N of HIGH STREET_RD,271
542,WARRIGAL_RD N of HIGH STREET_RD,257
554,WARRIGAL_RD N of HIGH STREET_RD,266
566,WARRIGAL_RD N of HIGH STREET_RD,283
578,WARRIGAL_RD N of HIGH STREET_RD,282
590,WARRIGAL_RD N of HIGH STREET_RD,270
602,WARRIGAL_RD N of HIGH STREET_RD,296
614,WARRIGAL_RD N of HIGH STREET_RD,249
626,WARRIGAL_RD N of HIGH STREET_RD,250
638,WARRIGAL_RD N of HIGH STREET_RD,279
650,WARRIGAL_RD N of HIGH STREET_RD,269
662,WARRIGAL_RD N of HIGH STREET_RD,278
674,WARRIGAL_RD N of HIGH STREET_RD,262
686,WARRIGAL_RD N of HIGH STREET_RD,266
698,WARRIGAL_RD N of HIGH STREET_RD,247
710,WARRIGAL_RD N of HIGH STREET_RD,290
722,WARRIGAL_RD N of HIGH STREET_RD,259
734,WARRIGAL_RD N of HIGH STREET_RD,254
746,WARRIGAL_RD N of HIGH STREET_RD,305
758,WARRIGAL_RD N of HIGH STREET_RD,301
770,WARRIGAL_RD N of HIGH STREET_RD,306
782,WARRIGAL_RD N of HIGH STREET_RD,354
794,WARRIGAL_RD N of HIGH STREET_RD,284
806,WARRIGAL_RD N of HIGH STREET_RD,319
818,WARRIGAL_RD N of HIGH STREET_RD,302
830,WARRIGAL_RD N of HIGH STREET_RD,369
