,Location,value
1580,WARRIGAL_RD N of HIGH STREET_RD,141
1599,WARRIGAL_RD N of HIGH STREET_RD,137
1618,WARRIGAL_RD N of HIGH STREET_RD,158
1637,WARRIGAL_RD N of HIGH STREET_RD,115
1656,WARRIGAL_RD N of HIGH STREET_RD,113
1675,WARRIGAL_RD N of HIGH STREET_RD,132
1694,WARRIGAL_RD N of HIGH STREET_RD,101
1713,WARRIGAL_RD N of HIGH STREET_RD,113
1732,WARRIGAL_RD N of HIGH STREET_RD,90
1751,WARRIGAL_RD N of HIGH STREET_RD,78
1770,WARRIGAL_RD N of HIGH STREET_RD,66
1789,WARRIGAL_RD N of HIGH STREET_RD,52
1808,WARRIGAL_RD N of HIGH STREET_RD,44
4,WARRIGAL_RD N of HIGH STREET_RD,40
23,WARRIGAL_RD N of HIGH STREET_RD,39
42,WARRIGAL_RD N of HIGH STREET_RD,21
61,WARRIGAL_RD N of HIGH STREET_RD,11
80,WARRIGAL_RD N of HIGH STREET_RD,16
99,WARRIGAL_RD N of HIGH STREET_RD,9
118,WARRIGAL_RD N of HIGH STREET_RD,15
137,WARRIGAL_RD N of HIGH STREET_RD,15
156,WARRIGAL_RD N of HIGH STREET_RD,9
175,WARRIGAL_RD N of HIGH STREET_RD,6
194,WARRIGAL_RD N of HIGH STREET_RD,9
213,WARRIGAL_RD N of HIGH STREET_RD,4
232,WARRIGAL_RD N of HIGH STREET_RD,4
251,WARRIGAL_RD N of HIGH STREET_RD,1
270,WARRIGAL_RD N of HIGH STREET_RD,11
289,WARRIGAL_RD N of HIGH STREET_RD,9
308,WARRIGAL_RD N of HIGH STREET_RD,17
327,WARRIGAL_RD N of HIGH STREET_RD,13
346,WARRIGAL_RD N of HIGH STREET_RD,16
365,WARRIGAL_RD N of HIGH STREET_RD,15
384,WARRIGAL_RD N of HIGH STREET_RD,23
403,WARRIGAL_RD N of HIGH STREET_RD,35
422,WARRIGAL_RD N of HIGH STREET_RD,58
441,WARRIGAL_RD N of HIGH STREET_RD,79
460,WARRIGAL_RD N of HIGH STREET_RD,81
479,WARRIGAL_RD N of HIGH STREET_RD,139
498,WARRIGAL_RD N of HIGH STREET_RD,238
517,WARRIGAL_RD N of HIGH STREET_RD,235
536,WARRIGAL_RD N of HIGH STREET_RD,235
555,WARRIGAL_RD N of HIGH STREET_RD,328
574,WARRIGAL_RD N of HIGH STREET_RD,344
593,WARRIGAL_RD N of HIGH STREET_RD,315
612,WARRIGAL_RD N of HIGH STREET_RD,359
631,WARRIGAL_RD N of HIGH STREET_RD,434
650,WARRIGAL_RD N of HIGH STREET_RD,375
669,WARRIGAL_RD N of HIGH STREET_RD,365
688,WARRIGAL_RD N of HIGH STREET_RD,356
707,WARRIGAL_RD N of HIGH STREET_RD,362
726,WARRIGAL_RD N of HIGH STREET_RD,328
745,WARRIGAL_RD N of HIGH STREET_RD,330
764,WARRIGAL_RD N of HIGH STREET_RD,327
783,WARRIGAL_RD N of HIGH STREET_RD,276
802,WARRIGAL_RD N of HIGH STREET_RD,311
821,WARRIGAL_RD N of HIGH STREET_RD,281
840,WARRIGAL_RD N of HIGH STREET_RD,303
859,WARRIGAL_RD N of HIGH STREET_RD,324
878,WARRIGAL_RD N of HIGH STREET_RD,285
